Study_Hours,Attendance,Previous_Score,Assignments_Score,Final_Marks
2.4,98.3,82.6,96.0,65.5
5.3,79.7,82.5,55.9,67.4
5.8,98.5,68.7,76.7,67.0
1.5,74.5,93.7,80.7,64.1
4.0,69.0,46.9,59.1,48.0
2.2,77.8,40.9,90.9,50.3
1.6,74.8,82.4,96.8,65.9
9.9,59.8,84.4,93.1,80.2
3.9,83.8,46.6,84.3,57.0
8.3,64.7,54.6,56.6,57.2
3.3,82.9,41.0,56.9,50.1
7.1,84.3,56.1,97.8,79.5
7.8,61.8,82.5,40.6,63.8
6.4,57.8,68.5,83.0,70.3
5.2,90.1,59.1,82.4,59.7
4.7,75.7,60.4,77.4,62.1
4.1,57.6,40.1,99.4,51.3
9.4,99.8,56.5,,63.6
8.5,57.6,75.6,60.4,63.5
9.7,86.3,93.6,44.7,81.5
2.1,99.3,86.6,66.6,69.4
7.6,65.8,41.3,55.7,56.0
9.4,61.4,89.4,60.6,66.8
2.6,60.5,83.1,,63.2
1.6,68.6,82.9,96.1,66.1
7.7,59.5,65.2,51.1,60.8
6.2,86.1,61.9,62.4,55.0
8.6,57.8,56.7,95.7,66.3
2.3,77.9,43.6,43.7,42.8
8.2,99.9,52.6,45.5,65.6
2.8,91.6,53.6,49.8,41.3
2.5,82.7,66.6,75.7,58.6
2.5,68.8,81.1,49.0,55.1
8.3,83.1,66.1,98.1,81.4
7.0,78.7,43.2,66.8,62.3
5.7,74.2,92.7,70.1,73.9
4.2,60.9,91.8,54.8,57.8
8.9,94.9,83.2,68.3,70.1
4.5,75.2,94.5,79.7,69.9
8.3,63.8,69.9,85.1,76.5
5.0,71.5,93.0,85.2,79.3
4.4,73.6,44.2,74.7,58.1
5.2,92.2,60.1,94.3,71.6
3.7,88.0,52.4,89.0,63.7
7.7,89.6,50.8,85.4,67.2
5.5,55.5,47.7,43.3,46.6
3.1,73.7,74.2,40.4,60.0
9.1,76.7,83.0,52.7,67.7
4.5,55.9,71.8,79.8,68.7
5.9,66.7,48.1,64.7,54.1
9.2,89.2,84.6,64.1,83.7
6.6,61.2,75.0,93.1,65.0
2.1,79.1,61.3,93.7,63.3
9.5,64.7,77.1,94.6,76.0
6.6,55.5,54.3,58.8,49.1
4.0,65.9,59.0,81.5,59.7
2.3,98.9,90.5,56.3,68.6
8.1,91.1,56.0,51.4,60.1
6.6,98.2,65.8,51.1,58.0
5.8,77.0,89.0,60.5,68.0
9.0,59.9,78.9,65.8,70.3
8.1,79.7,43.4,89.9,70.1
2.4,75.4,48.1,47.2,49.4
3.8,93.0,40.4,84.1,58.0
3.2,59.4,74.7,71.9,66.5
7.7,77.0,64.6,57.3,65.5
1.3,61.8,47.4,69.6,44.0
6.1,69.6,92.7,58.0,61.0
7.9,88.2,69.1,75.8,71.8
8.9,76.4,53.3,66.0,64.3
4.1,71.9,67.5,49.9,59.0
8.4,72.8,77.4,47.0,68.6
2.0,75.7,44.2,72.8,44.2
8.6,90.3,55.1,94.1,76.0
2.1,95.1,84.4,60.6,65.2
4.6,98.0,65.3,84.0,75.2
8.2,90.4,70.1,79.5,79.2
2.3,69.2,63.8,95.9,64.1
3.1,86.0,42.4,89.3,57.6
7.5,74.7,49.1,74.0,64.9
7.5,66.5,64.5,79.4,73.3
6.8,92.8,51.5,93.9,64.6
7.2,56.7,42.7,64.0,53.3
5.9,95.6,86.4,59.6,67.5
3.3,75.8,94.0,40.6,61.0
4.1,83.7,83.6,89.6,77.1
2.6,84.7,87.0,88.1,66.4
9.2,95.3,53.3,46.3,54.2
6.3,83.7,92.8,74.6,73.6
4.6,82.6,50.8,67.8,61.3
5.2,58.0,92.3,47.1,63.8
9.5,78.3,94.7,98.8,90.0
2.4,61.8,79.1,52.9,52.1
6.3,88.2,94.0,44.0,63.2
5.6,78.0,71.3,75.7,69.0
6.5,85.6,54.3,84.3,63.3
1.2,56.9,,41.9,52.4
8.8,58.8,72.6,79.5,74.2
9.4,87.2,44.0,71.9,64.9
6.1,58.2,74.2,46.2,55.0
7.3,58.2,94.0,50.4,66.9
9.3,55.5,50.5,74.1,63.0
7.4,98.0,83.6,57.8,78.5
2.4,88.2,89.9,96.3,73.0
6.2,70.9,91.9,89.1,73.0
6.5,68.3,92.8,99.0,87.7
4.8,70.7,68.7,55.6,58.0
7.6,89.9,93.8,98.2,89.1
9.4,84.8,81.7,65.9,74.2
9.3,63.3,48.9,60.9,63.4
5.1,62.8,66.2,43.0,54.5
2.0,59.4,79.5,43.2,41.2
9.9,84.7,53.6,81.5,82.5
8.6,89.4,75.2,67.5,80.3
2.1,66.9,76.7,53.6,51.3
9.3,55.9,48.9,76.8,59.4
8.8,58.7,71.1,55.2,66.6
5.7,98.6,82.4,74.7,74.1
6.3,68.3,67.4,61.6,63.4
4.6,89.6,40.7,89.4,61.7
1.5,83.1,40.5,89.2,55.0
4.0,72.2,59.6,68.6,63.3
8.2,64.3,90.9,61.0,74.7
1.0,60.5,52.6,61.8,39.6
4.0,82.7,74.9,88.3,74.4
4.6,89.9,52.2,,64.3
5.8,84.0,57.7,52.5,72.5
9.3,78.9,86.6,45.1,66.9
4.1,56.9,80.1,68.0,61.4
4.1,98.6,45.2,68.9,48.2
7.6,90.9,63.6,90.5,77.3
5.1,68.2,41.6,53.3,46.8
3.0,99.1,66.4,62.9,68.7
,82.1,76.4,88.5,67.6
2.3,81.2,46.5,89.4,48.4
2.6,88.7,55.9,63.1,52.1
5.5,91.5,61.9,67.5,55.1
4.8,84.5,90.6,58.2,70.9
9.2,60.8,94.6,96.0,74.3
4.3,70.2,42.5,47.1,46.7
6.2,96.8,81.9,96.0,70.3
6.7,65.1,60.4,81.0,63.4
1.1,71.7,61.6,71.9,59.2
7.0,74.4,81.5,42.0,65.4
2.6,74.8,90.5,68.5,59.6
9.6,82.6,92.3,64.5,79.7
2.3,97.4,71.7,49.7,56.6
4.7,65.8,59.6,79.4,62.0
1.8,60.5,83.3,98.3,58.3
10.0,63.9,53.8,73.7,70.7
5.5,94.9,71.0,82.9,59.0
6.4,84.1,59.7,44.1,55.3
1.6,67.9,76.1,65.1,52.6
7.7,91.7,53.2,47.0,64.0
2.9,93.8,50.5,76.8,57.7
9.1,93.1,90.5,96.3,81.7
2.8,96.4,45.6,79.7,52.7
2.7,66.4,67.8,44.6,50.3
1.3,89.0,52.1,61.3,49.5
5.2,75.7,42.1,73.0,53.3
6.1,92.9,42.0,64.2,56.6
1.6,87.8,49.6,90.0,59.8
8.0,89.9,87.7,88.9,80.0
5.1,84.5,55.5,76.7,61.9
5.7,63.0,92.3,62.4,76.9
5.0,79.5,72.0,55.3,54.3
4.6,99.3,64.0,46.4,50.5
6.0,97.2,71.9,61.3,71.1
2.4,56.9,68.4,64.8,49.2
2.6,62.4,81.7,80.5,60.2
8.8,60.9,55.5,79.5,63.3
9.5,87.7,59.4,44.2,64.4
4.4,91.8,89.2,63.7,76.1
3.4,64.6,92.1,50.9,63.1
6.8,77.8,89.1,49.4,71.9
4.7,92.8,63.1,89.6,62.0
1.2,88.0,,42.5,48.8
2.4,79.4,66.2,65.2,43.0
7.4,81.6,67.4,50.1,60.1
6.9,77.9,51.3,92.8,72.1
1.2,68.4,72.5,73.4,57.4
3.0,80.4,50.2,53.9,48.6
3.1,86.0,58.2,70.1,57.2
7.0,94.3,87.0,83.9,76.3
1.2,83.6,51.4,97.5,58.4
1.9,89.3,43.9,53.2,50.2
8.2,62.2,43.8,93.2,58.4
2.6,75.8,91.7,96.1,72.2
6.9,55.4,67.9,95.0,73.5
3.1,66.1,62.5,78.1,55.1
1.9,87.7,84.6,77.8,67.9
3.2,99.6,86.0,64.2,79.5
7.5,59.5,58.3,85.1,65.5
8.7,73.1,78.1,71.9,75.5
8.5,91.0,82.4,80.6,76.6
4.6,64.2,76.0,65.7,61.7
7.0,80.0,48.3,83.9,67.3
2.8,88.0,88.2,89.5,71.7
3.6,82.7,69.7,48.8,51.3
9.1,63.5,55.5,90.0,71.5
1.1,71.0,63.4,72.4,58.9
1.8,90.3,42.1,90.7,57.5
2.9,79.9,47.0,65.9,55.7
1.2,55.2,82.1,62.7,51.8
2.6,89.2,40.0,94.9,60.9
6.2,56.6,62.9,55.1,57.7
4.8,88.6,68.7,90.7,65.5
9.0,64.1,43.0,69.0,62.9
8.4,98.1,93.5,70.8,77.4
4.1,71.6,52.4,,49.4
3.3,69.7,56.7,74.4,56.3
4.4,61.7,56.7,59.5,54.0
6.3,68.8,52.7,42.4,47.3
3.4,94.4,40.1,56.3,55.3
6.6,,80.1,40.4,69.2
4.7,71.6,93.2,98.7,72.7
6.0,75.2,52.3,97.9,60.0
4.9,87.5,76.5,63.7,64.8
3.7,94.9,80.8,83.7,68.4
9.5,81.7,86.7,60.7,77.3
7.9,72.6,63.2,80.3,67.8
2.3,73.6,56.7,88.3,48.4
8.8,86.3,57.9,96.8,74.7
5.4,55.1,79.2,64.0,60.2
9.1,82.9,84.9,87.0,85.0
8.2,71.0,50.0,56.0,56.7
4.8,90.7,60.4,99.4,77.4
1.2,59.2,89.6,41.5,41.9
3.4,81.5,84.4,76.2,72.4
5.9,76.6,94.2,79.6,73.9
6.7,83.9,81.5,81.3,78.5
3.3,57.9,61.6,47.2,48.3
2.3,81.1,72.5,96.3,70.6
8.5,80.3,76.4,50.9,67.1
9.9,80.2,44.3,77.4,63.9
5.7,82.2,69.9,53.4,68.0
2.5,85.4,79.0,58.4,58.7
3.5,91.2,49.2,72.8,58.1
1.2,67.1,82.9,65.0,61.4
9.2,92.1,72.1,49.6,66.2
2.1,77.4,92.4,50.3,61.5
6.2,58.5,42.3,65.1,50.5
3.5,57.6,54.6,85.4,55.2
6.0,70.0,73.1,93.9,71.5
6.9,90.3,56.3,45.0,52.8
8.5,86.8,79.3,63.6,70.5
2.9,90.5,81.7,46.0,64.8
1.1,78.3,45.6,41.0,44.4
2.2,74.8,68.3,79.7,58.4
9.1,61.6,68.0,76.1,71.6
8.9,69.8,60.3,49.8,61.4
6.4,74.5,91.3,54.0,74.5
6.4,59.0,85.5,41.4,59.8
7.0,64.9,78.3,90.1,74.1
2.6,81.9,79.3,98.5,74.0
9.2,88.1,65.4,48.1,64.2
4.8,99.9,90.7,53.9,76.2
4.4,97.0,78.2,92.1,66.7
5.7,83.9,80.1,95.6,82.9
1.4,74.0,87.4,65.2,57.2
2.5,83.6,55.1,43.0,46.7
7.6,90.4,84.4,42.4,60.4
1.7,60.3,50.7,74.4,46.4
6.4,73.4,59.0,63.6,56.2
3.2,92.8,58.5,41.7,49.0
4.5,72.3,93.8,75.0,69.2
3.6,80.7,87.1,40.7,63.1
4.2,81.4,78.6,87.2,70.2
7.5,63.3,80.0,58.4,67.9
3.7,71.3,70.9,42.4,47.9
6.1,70.1,92.1,75.3,68.5
5.3,56.2,67.3,63.9,66.0
7.0,56.1,60.9,98.4,65.1
9.4,92.4,49.0,72.7,77.6
7.6,67.3,83.2,56.5,66.8
2.9,78.3,80.4,82.6,65.3
1.3,68.4,61.1,56.3,52.4
3.4,97.3,41.4,94.3,66.7
6.4,66.7,86.1,62.5,67.0
1.5,74.3,40.6,73.0,45.4
5.5,94.3,78.7,43.0,63.2
6.4,92.9,93.4,65.6,76.7
4.0,63.4,64.1,89.9,65.9
7.9,91.1,52.9,88.3,71.7
2.0,75.6,78.8,53.5,57.8
1.7,76.7,84.9,53.6,63.8
7.6,61.0,70.1,89.0,72.7
5.5,58.6,93.2,95.8,76.0
7.2,87.8,42.8,45.7,49.1
4.9,77.3,67.8,67.0,49.9
3.2,74.7,79.5,60.2,61.1
8.4,87.8,87.4,92.2,83.1
8.2,89.4,49.9,45.0,58.0
7.3,62.2,84.0,52.7,66.7
3.4,82.5,70.4,85.1,64.5
6.3,61.1,61.8,43.1,59.2
4.2,88.8,47.2,69.6,57.2
1.8,84.6,87.6,66.5,58.7
9.3,98.0,48.7,60.1,72.2
2.2,58.1,57.0,63.7,47.3
9.6,57.6,56.0,71.8,68.6
5.0,67.7,87.9,49.7,59.8
4.4,97.0,47.4,68.1,58.0
8.3,63.8,69.9,85.1,76.5
5.2,92.2,60.1,94.3,71.6
4.2,82.0,66.0,70.6,59.7
9.6,60.0,47.7,47.8,62.2
